[rosmaster.main][INFO] 2015-11-26 12:33:48,563: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2015-11-26 12:33:48,563: Starting ROS Master Node
[xmlrpc][INFO] 2015-11-26 12:33:48,564: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2015-11-26 12:33:48,564: Started XML-RPC server [http://c1:11311/]
[rosmaster.master][INFO] 2015-11-26 12:33:48,564: Master initialized: port[11311], uri[http://c1:11311/]
[xmlrpc][INFO] 2015-11-26 12:33:48,564: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2015-11-26 12:33:48,597: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,598: +PARAM [/roslaunch/uris/host_c1__37675] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,621: +SERVICE [/rosout/get_loggers] /rosout http://c1:53795/
[rosmaster.master][INFO] 2015-11-26 12:33:48,655: +PARAM [/r_arm_controller/gains/r_forearm_roll_joint/p] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,655: +SERVICE [/rosout/set_logger_level] /rosout http://c1:53795/
[rosmaster.master][INFO] 2015-11-26 12:33:48,655: +PARAM [/diag_agg/analyzers/devices/analyzers/imu/path] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,656: +PARAM [/diag_agg/analyzers/cameras/analyzers/wide_left/type] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,656: +PARAM [/r_arm_controller/gains/r_forearm_roll_joint/d] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,656: +PARAM [/r_arm_controller/gains/r_forearm_roll_joint/i] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,656: +PARAM [/l_arm_controller/gains/l_wrist_roll_joint/i] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,656: +PARAM [/upper_arm_roll_gains/d] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,656: +PARAM [/base_controller/bl_caster_rotation_joint/position_controller/d] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,656: +PARAM [/r_arm_controller/gains/r_shoulder_pan_joint/proxy/acc_converge] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,656: +PARAM [/wide_stereo/wide_stereo_proc/disparity_range] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,657: +PARAM [/diag_agg/analyzers/devices/analyzers/joystick/expected] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,657: +PARAM [/l_arm_controller/gains/l_wrist_roll_joint/d] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,657: +PARAM [/upper_arm_roll_gains/i] by /roslaunch
